NumberofFloors,NumberofBuildings,BuildingAge,PropertyGFATotal,PropertyGFATotal-binned,Neighborhood,renamed_PropertyType,Electricity_ratio,NaturalGas,SteamUse,SiteEnergyUse(kBtu),TotalGHGEmissions,ENERGYSTARScore
1.0,1.0,50.0,76086.0,Medium,MAGNOLIA / QUEEN ANNE,Other,47.845,True,False,3267564.0,101.41,
3.0,4.0,28.0,215476.0,Large,DOWNTOWN,Other,57.41105,True,False,24017770.0,639.39,
2.0,1.0,43.0,69400.0,Medium,DOWNTOWN,Other,71.01754,True,False,14833476.0,301.76,
5.0,1.0,54.0,36000.0,Small,NORTHEAST,Other,99.99999,False,False,30038490.0,209.41,96.0
5.0,1.0,14.0,141131.0,Medium,LAKE UNION,Other,99.99997,False,False,3085814.0,21.51,
6.0,1.0,27.0,147852.0,Medium,DOWNTOWN,Other,73.64454,True,False,9671619.0,185.03,
4.0,0.0,27.0,267335.0,Large,DOWNTOWN,Other,71.08197,True,False,7273155.5,147.75,
12.0,1.0,38.0,193500.0,Medium,DOWNTOWN,Other,99.99999,False,False,14436982.0,100.65,
5.0,1.0,24.0,206950.0,Large,EAST,Other,91.54324,False,True,19295226.0,249.09,
9.0,1.0,35.0,46710.0,Small,EAST,Other,65.28746,False,True,4169431.5,130.69,
8.0,1.0,48.0,158738.0,Medium,EAST,Other,75.33489,True,True,61762380.0,1268.87,
3.0,1.0,95.0,55200.0,Medium,LAKE UNION,Other,64.69122,True,False,11594121.0,269.71,
4.0,1.0,20.0,241159.0,Large,LAKE UNION,Other,60.47635,True,False,33713876.0,849.83,
4.0,1.0,60.0,102235.0,Medium,LAKE UNION,Other,62.94368,True,False,24395228.0,587.16,
1.0,0.0,68.0,113780.0,Medium,DELRIDGE,Other,41.14891,True,False,3574542.25,121.98,
3.0,1.0,22.0,280252.0,Large,LAKE UNION,Other,99.99999,False,False,11521702.0,80.32,
3.0,1.0,71.0,66462.0,Medium,MAGNOLIA / QUEEN ANNE,Other,99.99998,False,False,6876439.5,47.94,
1.0,,59.0,111900.0,Medium,NORTHWEST,Other,65.10713,True,False,9814820.0,226.43,
5.0,1.0,15.0,322869.0,Large,BALLARD,Other,62.67422,True,False,17085344.0,413.35,
1.0,1.0,83.0,56608.0,Medium,GREATER DUWAMISH,Other,83.49233,True,False,5094197.0,74.31,
3.0,1.0,97.0,80004.0,Medium,CENTRAL,Other,99.99998,False,False,12232124.0,85.28,
2.0,0.0,54.0,98539.0,Medium,NORTH,Other,96.62215,True,False,5450441.5,46.49,
3.0,1.0,18.0,161789.0,Medium,NORTHWEST,Other,99.77008,True,False,6963616.5,49.28,
1.0,1.0,23.0,53040.0,Medium,GREATER DUWAMISH,Other,54.0086,True,False,1770027.5,49.9,
1.0,0.0,50.0,110689.0,Medium,GREATER DUWAMISH,Other,15.2289,True,False,2339814.25,107.83,
3.0,1.0,103.0,169785.0,Medium,LAKE UNION,Other,69.16928,True,False,19155416.0,406.02,
1.0,1.0,77.0,23000.0,Small,DOWNTOWN,Other,36.65198,True,False,711118.375,25.74,
3.0,1.0,117.0,67755.0,Medium,DOWNTOWN,Other,100.0,False,False,1904480.0,13.28,
2.0,1.0,70.0,76442.0,Medium,GREATER DUWAMISH,Other,42.86788,True,False,3978277.0,132.6,
2.0,2.0,82.0,125519.0,Medium,GREATER DUWAMISH,Other,100.0,False,False,2244317.0,15.65,
3.0,1.0,22.0,68763.0,Medium,DELRIDGE,Other,40.65304,True,False,9029489.0,310.19,
1.0,3.0,29.0,102133.0,Medium,SOUTHEAST,Other,59.62057,True,False,20725996.0,530.62,
2.0,3.0,29.0,81336.0,Medium,MAGNOLIA / QUEEN ANNE,Other,70.35971,True,False,13085297.0,270.17,
6.0,1.0,40.0,275982.0,Large,DOWNTOWN,Other,99.99999,False,False,5233553.5,36.49,
2.0,3.0,37.0,63644.0,Medium,GREATER DUWAMISH,Other,61.86032,True,False,6858533.5,168.5,
6.0,1.0,17.0,143439.0,Medium,NORTHEAST,Other,55.01342,True,False,25631512.0,710.7,
4.0,1.0,24.0,115748.0,Medium,LAKE UNION,Other,46.41839,True,False,36436388.0,1154.79,
5.0,1.0,24.0,,Medium,DOWNTOWN,Other,99.99999,False,False,46510960.0,324.25,
2.0,1.0,84.0,58492.0,Medium,GREATER DUWAMISH,Other,45.01981,True,False,1594422.5,51.56,
4.0,1.0,79.0,99122.0,Medium,GREATER DUWAMISH,Other,88.2295,True,False,14469228.0,179.45,
1.0,1.0,38.0,66133.0,Medium,GREATER DUWAMISH,Other,84.3879,True,False,6345009.5,89.94,
1.0,1.0,53.0,141686.0,Medium,GREATER DUWAMISH,Other,99.99999,False,False,6673138.0,46.52,
6.0,1.0,21.0,361398.0,Large,NORTHEAST,Other,85.95776,True,False,8915523.0,119.92,
5.0,1.0,23.0,303255.0,Large,NORTH,Other,95.712,True,False,11077140.0,99.14,
4.0,3.0,95.0,62600.0,Medium,MAGNOLIA / QUEEN ANNE,Other,36.16223,True,False,11147342.0,406.04,
5.0,1.0,36.0,90266.0,Medium,NORTH,Other,99.99999,False,False,7771933.5,54.18,18.0
5.0,1.0,24.0,141718.0,Medium,MAGNOLIA / QUEEN ANNE,Other,76.35853,True,False,19085174.0,341.23,
3.0,1.0,21.0,338063.0,Large,GREATER DUWAMISH,Other,87.90845,True,False,20675922.0,259.49,
2.0,1.0,15.0,51856.0,Medium,GREATER DUWAMISH,Other,99.99999,False,False,1938613.125,13.51,
2.0,1.0,66.0,22220.0,Small,NORTHEAST,Other,26.73071,True,False,778355.8125,31.74,90.0
1.0,3.0,29.0,22800.0,Small,GREATER DUWAMISH,Other,16.1118,True,False,2222097.5,101.5,
2.0,1.0,101.0,21022.0,Small,NORTHWEST,Other,14.58901,True,False,945245.625,43.84,54.0
3.0,1.0,95.0,39971.0,Small,NORTHEAST,Other,32.83178,True,False,10960107.0,416.07,
2.0,1.0,109.0,33589.0,Small,BALLARD,Other,21.89448,True,False,509836.1875,21.93,90.0
2.0,1.0,77.0,44588.0,Small,DOWNTOWN,Other,99.99999,False,False,7251589.0,50.55,
2.0,1.0,100.0,21462.0,Small,NORTH,Other,99.99994,False,False,1114384.625,7.77,
2.0,1.0,106.0,28072.0,Small,NORTHWEST,Other,14.1235,True,False,1362523.0,63.48,
2.0,1.0,75.0,20920.0,Small,DOWNTOWN,Other,27.35291,True,False,1042108.5,42.19,15.0
2.0,1.0,97.0,22128.0,Small,SOUTHWEST,Other,25.19989,True,False,608359.6875,25.24,94.0
2.0,1.0,74.0,21364.0,Small,SOUTHWEST,Other,16.79903,True,False,965651.125,43.8,86.0
2.0,1.0,68.0,31890.0,Small,DOWNTOWN,Other,99.99997,False,False,1858224.625,12.95,2.0
4.0,0.0,97.0,49249.0,Medium,DOWNTOWN,Other,32.6278,True,False,33268410.0,1266.06,
2.0,1.0,101.0,37740.0,Small,DOWNTOWN,Other,54.89105,True,False,3095882.0,86.02,
2.0,1.0,95.0,45991.0,Small,NORTHWEST,Other,46.1818,True,False,1145535.75,36.43,77.0
4.0,1.0,96.0,32356.0,Small,DOWNTOWN,Other,52.47403,False,True,1857154.75,74.92,81.0
2.0,1.0,113.0,23931.0,Small,NORTHWEST,Other,33.65209,True,False,496477.3125,18.66,88.0
2.0,1.0,75.0,21393.0,Small,NORTHWEST,Other,31.48595,True,False,845961.375,32.64,57.0
1.0,1.0,51.0,26366.0,Small,NORTHEAST,Other,36.46288,True,False,888031.875,32.22,88.0
2.0,1.0,58.0,21732.0,Small,SOUTHEAST,Other,55.69258,True,False,860364.1875,23.59,2.0
3.0,1.0,102.0,29636.0,Small,NORTHEAST,Other,100.00003,False,False,688641.8125,4.8,
2.0,1.0,97.0,47992.0,Medium,NORTHEAST,Other,30.72263,True,False,3040195.5,118.37,17.0
2.0,1.0,23.0,31386.0,Small,NORTHEAST,Other,62.97564,True,False,1128179.125,27.14,52.0
2.0,1.0,54.0,41790.0,Small,GREATER DUWAMISH,Other,81.88694,True,False,2177075.0,33.37,
3.0,1.0,101.0,39320.0,Small,DOWNTOWN,Other,31.47552,True,True,3042875.5,145.48,
5.0,1.0,115.0,41536.0,Small,DOWNTOWN,Other,100.0,False,False,2735166.0,19.07,
2.0,1.0,100.0,37816.0,Small,SOUTHWEST,Other,48.37946,True,False,1411305.5,43.45,60.0
1.0,1.0,75.0,41521.0,Small,SOUTHWEST,Other,50.14808,True,False,3343550.0,100.21,
1.0,1.0,39.0,33334.0,Small,SOUTHWEST,Other,40.61105,True,False,6118300.5,210.3,
1.0,0.0,74.0,22405.0,Small,NORTH,Other,31.73273,True,False,3498214.75,134.57,
1.0,1.0,10.0,32590.0,Small,NORTH,Other,46.46238,True,False,1361794.25,43.13,
1.0,1.0,99.0,22180.0,Small,SOUTHWEST,Other,52.50292,True,False,5089083.0,147.0,
1.0,0.0,46.0,36070.0,Small,SOUTHEAST,Other,99.99997,False,False,1441665.375,10.05,
2.0,1.0,60.0,20047.0,Small,SOUTHEAST,Other,99.99966,False,False,117438.3984,0.82,
